business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score,stars_norm,sentiment_norm,reviews_norm,positive_aspects,negative_penalty,recommendation_score,recommendation_percentile,evidence_strength,doctor_vs_peer,staff_vs_peer,billing_vs_peer,wait_vs_peer,communication_vs_peer,cleanliness_vs_peer,stars_vs_peer,positive_ratio_vs_peer
Center City Emergency Dentist,Philadelphia,PA,124,3.73,66.94,0.1129,0.3226,0.0081,0.1532,0.0565,0.1774,0.682499999829375,0.6694,0.1774744027300725,0.16735,0.08065,42.41,54.49,High,0.0392,0.1267,0.0265,0.1509,0.0519,0.0872,0.1426,3.5931
Snap Fitness,Tucson,AZ,41,3.8,73.17,0.0488,0.3659,-0.0244,0.2927,0.0244,0.3659,0.6999999998249999,0.7317,0.0358361774743415,0.2012499999999999,0.14635,42.39,54.45,Medium,-0.0249,0.17,-0.006,0.2904,0.0198,0.2757,0.2126,9.8231
Sign of the Tymes Salon,Indianapolis,IN,27,3.96,74.07,0.0741,0.2963,0.1852,0.0,0.0741,0.037,0.739999999815,0.7406999999999999,0.0119453924914471,0.120375,0.0926,42.38,54.41,Low,0.0004,0.1004,0.2036,-0.0023,0.0695,-0.0532,0.3726,10.7231
Bayview Radiology,Tampa,FL,20,3.75,70.0,0.05,0.4,-0.15,0.0,0.15,0.25,0.687499999828125,0.7,0.0,0.2125,0.0,42.37,54.34,Low,-0.0237,0.2041,-0.1316,-0.0023,0.1454,0.1598,0.1626,6.6531
Sweetwater Pain and Spine,Reno,NV,37,3.78,67.57,0.2703,0.2973,-0.0541,0.0541,0.0811,0.2432,0.6949999998262499,0.6757,0.0290102389078003,0.222975,0.02705,42.37,54.34,Low,0.1966,0.1014,-0.0357,0.0518,0.0765,0.153,0.1926,4.2231
Tai Chi Bodywork Center,Philadelphia,PA,60,4.0,75.0,0.0333,0.1,0.2,0.1667,0.0,0.25,0.7499999998125,0.75,0.0682593856654125,0.095825,0.18335,42.36,54.28,Medium,-0.0404,-0.0959,0.2184,0.1644,-0.0046,0.1598,0.4126,11.6531
Jem's Natural Living,Tampa,FL,23,3.96,73.91,0.1304,0.3478,0.1304,0.087,0.087,-0.0435,0.739999999815,0.7391,0.0051194539249059,0.1304249999999999,0.1086999999999999,42.28,54.19,Low,0.0567,0.1519,0.1488,0.0847,0.0824,-0.1337,0.3726,10.5631
MassageLuXe,St. Petersburg,FL,76,3.88,71.05,0.0395,0.3026,-0.0263,0.0921,-0.0921,0.1316,0.71999999982,0.7105,0.0955631399315775,0.0953999999999999,0.04605,42.24,54.15,Medium,-0.0342,0.1067,-0.0079,0.0898,-0.0967,0.0414,0.2926,7.7031
St. Louis Pediatric Dentistry,Saint Louis,MO,32,3.88,71.88,0.0,0.4688,0.0,0.2812,-0.0312,0.3125,0.71999999982,0.7188,0.0204778156996237,0.187525,0.1406,42.22,54.06,Low,-0.0737,0.2729,0.0184,0.2789,-0.0358,0.2223,0.2926,8.5331
Greenspring Rejuvenation,Tucson,AZ,123,3.72,68.29,0.0732,0.2683,0.0,0.0163,-0.0163,0.1138,0.67999999983,0.6829000000000001,0.1757679180884372,0.10975,0.00815,42.22,54.06,High,-0.0005,0.0724,0.0184,0.014,-0.0209,0.0236,0.1326,4.9431
Philadelphia Eyeglass Labs,Philadelphia,PA,61,3.79,70.49,0.2787,0.459,0.2951,0.0492,0.0492,0.082,0.697499999825625,0.7049,0.0699658703070478,0.217225,0.17215,42.22,54.06,Medium,0.205,0.2631,0.3135,0.0469,0.0446,-0.0082,0.2026,7.1431
King and Queen Massage & Spa,Abington,PA,47,3.94,74.47,0.0851,0.2766,0.2979,0.0426,-0.0638,0.2128,0.73499999981625,0.7447,0.0460750853241534,0.127675,0.17025,42.21,53.97,Medium,0.0114,0.0807,0.3163,0.0403,-0.0684,0.1226,0.3526,11.1231
CBD Kratom,St Louis,MO,22,3.86,68.18,-0.0455,0.3636,0.0455,0.0,0.3182,0.1364,0.71499999982125,0.6818000000000001,0.0034129692832706,0.1931749999999999,0.02275,42.18,53.89,Low,-0.1192,0.1677,0.0639,-0.0023,0.3136,0.0462,0.2726,4.8331
Massage Green Spa,Tampa,FL,24,3.83,70.83,0.0,0.3333,0.0,0.0417,0.0833,0.25,0.7074999998231251,0.7082999999999999,0.0068259385665412,0.16665,0.02085,42.16,53.84,Low,-0.0737,0.1374,0.0184,0.0394,0.0787,0.1598,0.2426,7.4831
DocMJ,Tampa,FL,21,3.95,71.43,0.1905,0.1905,0.0,0.1429,0.0952,0.0952,0.7374999998156251,0.7143,0.0017064846416353,0.14285,0.07145,42.15,53.8,Low,0.1168,-0.0054,0.0184,0.1406,0.0906,0.005,0.3626,8.0831
Monroe Carell Jr Children's Hospital at Vanderbilt,Nashville,TN,28,3.71,71.43,0.3929,0.3214,0.1429,0.1071,0.0714,0.2143,0.677499999830625,0.7143,0.0136518771330825,0.25,0.125,42.14,53.76,Low,0.3192,0.1255,0.1613,0.1048,0.0668,0.1241,0.1226,8.0831
Dentistry at 1818 Market Street,Philadelphia,PA,55,3.78,67.27,0.1091,0.3091,-0.0182,0.0545,0.1455,0.2,0.6949999998262499,0.6727,0.0597269624572359,0.190925,0.02725,42.11,53.71,Medium,0.0354,0.1132,0.0002,0.0522,0.1409,0.1098,0.1926,3.9231
Cotton & Snow,Nashville,TN,41,4.1,73.17,-0.0244,0.1463,0.0976,-0.0244,-0.0244,0.0,0.7749999998062499,0.7317,0.0358361774743415,0.024375,0.0488,42.08,53.67,Medium,-0.0981,-0.0496,0.116,-0.0267,-0.029,-0.0902,0.5126,9.8231
AFC Urgent Care - West Chester,West Chester,PA,21,3.81,71.43,0.381,0.381,0.0476,0.2381,0.0476,0.0952,0.702499999824375,0.7143,0.0017064846416353,0.2262,0.14285,42.05,53.63,Low,0.3073,0.1851,0.066,0.2358,0.043,0.005,0.2226,8.0831
Children's Hospital of Philadelphia,Philadelphia,PA,80,3.74,66.25,0.2625,0.3375,0.15,0.1,0.1125,0.2125,0.68499999982875,0.6625,0.1023890784981187,0.23125,0.125,42.02,53.58,Medium,0.1888,0.1416,0.1684,0.0977,0.1079,0.1223,0.1526,2.9031
Claybrooke Commons Kroger,Indianapolis,IN,29,3.79,72.41,0.069,0.2414,0.069,0.1034,0.1034,0.2759,0.697499999825625,0.7241,0.0153583617747178,0.172425,0.0862,41.84,53.54,Low,-0.0047,0.0455,0.0874,0.1011,0.0988,0.1857,0.2026,9.0631
Barnet Dulaney Perkins Eye Center,Tucson,AZ,48,3.81,68.75,0.1667,0.375,-0.0833,0.1458,0.0625,0.1042,0.702499999824375,0.6875,0.0477815699657887,0.1770999999999999,0.0729,41.79,53.5,Medium,0.093,0.1791,-0.0649,0.1435,0.0579,0.014,0.2226,5.4031
Hand & Stone Massage and Facial Spa,St. Petersburg,FL,62,3.77,70.97,0.0806,0.2581,0.0484,0.0323,0.0323,0.1452,0.692499999826875,0.7097,0.0716723549486831,0.12905,0.04035,41.77,53.45,Medium,0.0069,0.0622,0.0668,0.03,0.0277,0.055,0.1826,7.6231
Pennsylvania Dental Group,Philadelphia,PA,57,3.81,68.42,0.1404,0.3158,0.0526,0.2105,0.1228,0.2105,0.702499999824375,0.6842,0.0631399317405065,0.197375,0.13155,41.76,53.41,Medium,0.0667,0.1199,0.071,0.2082,0.1182,0.1203,0.2226,5.0731
Sugar Salon and Medical Spa,Reno,NV,84,3.71,66.67,0.2619,0.2738,0.0119,0.0238,0.0,0.119,0.677499999830625,0.6667000000000001,0.10921501706466,0.163675,0.01785,41.73,53.32,Medium,0.1882,0.0779,0.0303,0.0215,-0.0046,0.0288,0.1226,3.3231
Fuwa Massage Reflexology,Tucson,AZ,45,4.02,77.78,-0.0222,0.1333,0.3111,0.0889,-0.0667,0.1333,0.7549999998112499,0.7778,0.0426621160408828,0.044425,0.2,41.62,53.28,Medium,-0.0959,-0.0626,0.3295,0.0866,-0.0713,0.0431,0.4326,14.4331
Elements Massage - Cherry Hill,Cherry Hill,NJ,57,3.81,68.42,0.1579,0.2982,0.0351,0.0877,-0.0175,0.1754,0.702499999824375,0.6842,0.0631399317405065,0.1535,0.0613999999999999,41.58,53.23,Medium,0.0842,0.1023,0.0535,0.0854,-0.0221,0.0852,0.2226,5.0731
Edmondson Pike Family Practice & Walk-in Clinic,Nashville,TN,33,3.85,69.7,0.303,0.2727,-0.0303,0.1818,0.0303,0.0606,0.7124999998218751,0.6970000000000001,0.022184300341259,0.16665,0.0909,41.56,53.17,Low,0.2293,0.0768,-0.0119,0.1795,0.0257,-0.0296,0.2626,6.3531
Hall and Wrye Plastic Surgeons,Reno,NV,46,3.83,67.39,0.1957,0.3261,0.0217,0.1522,0.0652,0.1522,0.7074999998231251,0.6739,0.0443686006825181,0.1848,0.08695,41.56,53.17,Medium,0.122,0.1302,0.0401,0.1499,0.0606,0.062,0.2426,4.0431
South Tampa Smiles,Tampa,FL,31,3.81,67.74,0.0645,0.4839,-0.129,0.1935,0.0323,0.2581,0.702499999824375,0.6774,0.0187713310579884,0.2097,0.09675,41.52,53.1,Low,-0.0092,0.288,-0.1106,0.1912,0.0277,0.1679,0.2226,4.3931
Kung Fu Dim Sum,Havertown,PA,118,3.87,69.49,-0.0169,0.0932,0.0593,0.0424,0.0254,0.0169,0.7174999998206251,0.6949,0.1672354948802606,0.02965,0.05085,41.49,53.06,High,-0.0906,-0.1027,0.0777,0.0401,0.0208,-0.0733,0.2826,6.1431
Restore Spa,Philadelphia,PA,48,3.85,72.92,0.0833,0.25,0.0208,0.1875,-0.0208,0.125,0.7124999998218751,0.7292000000000001,0.0477815699657887,0.109375,0.1041499999999999,41.47,53.02,Medium,0.0096,0.0541,0.0392,0.1852,-0.0254,0.0348,0.2626,9.5731
Ochsner Baptist - A Campus of Ochsner Medical Center,New Orleans,LA,44,3.64,68.18,0.2273,0.4318,-0.0227,-0.0682,0.0455,0.0909,0.659999999835,0.6818000000000001,0.0409556313992475,0.198875,0.0,41.44,52.97,Medium,0.1536,0.2359,-0.0043,-0.0705,0.0409,0.0007,0.0526,4.8331
Rapunzel's Salon & Spa,Lansdale,PA,84,3.86,69.05,0.0357,0.2857,0.0833,0.1071,-0.0119,0.0952,0.71499999982125,0.6905,0.10921501706466,0.101175,0.0952,41.42,52.93,Medium,-0.038,0.0898,0.1017,0.1048,-0.0165,0.005,0.2726,5.7031
Legendary Smiles,Havertown,PA,23,3.7,65.22,0.2174,0.3043,-0.087,0.1304,0.1739,0.3913,0.67499999983125,0.6522,0.0051194539249059,0.271725,0.0652,41.41,52.89,Low,0.1437,0.1084,-0.0686,0.1281,0.1693,0.3011,0.1126,1.8731
Foot Reflexology Center,New Orleans,LA,34,3.94,79.41,0.0,0.0588,0.1765,0.0882,-0.0588,0.0882,0.73499999981625,0.7940999999999999,0.0238907849828943,0.02205,0.13235,41.38,52.82,Low,-0.0737,-0.1371,0.1949,0.0859,-0.0634,-0.002,0.3526,16.0631
Ly Jen Therapy Salons,Philadelphia,PA,62,4.03,74.19,0.0323,0.0968,0.2097,0.1452,-0.0323,0.0645,0.7574999998106251,0.7419,0.0716723549486831,0.040325,0.17745,41.38,52.82,Medium,-0.0414,-0.0991,0.2281,0.1429,-0.0369,-0.0257,0.4426,10.8431
The Joint Chiropractic,Brandon,FL,25,3.8,68.0,0.36,0.24,0.0,0.04,0.04,0.04,0.6999999998249999,0.68,0.0085324232081765,0.17,0.02,41.33,52.71,Low,0.2863,0.0441,0.0184,0.0377,0.0354,-0.0502,0.2126,4.6531
Essentials Massage & Facials South Tampa,Tampa,FL,106,3.82,68.87,0.0094,0.1887,0.1038,0.0472,-0.0283,0.1321,0.70499999982375,0.6887000000000001,0.1467576791806369,0.075475,0.0755,41.32,52.67,High,-0.0643,-0.0072,0.1222,0.0449,-0.0329,0.0419,0.2326,5.5231
Green Hills Smiles,Nashville,TN,28,3.79,67.86,0.1071,0.3571,-0.0357,-0.1071,0.0357,0.1429,0.697499999825625,0.6786,0.0136518771330825,0.1606999999999999,0.0,41.31,52.63,Low,0.0334,0.1612,-0.0173,-0.1094,0.0311,0.0527,0.2026,4.5131
Doylestown Health: Urgent Care,Doylestown,PA,30,3.67,66.67,0.2333,0.4667,-0.0333,-0.0333,-0.1,0.2667,0.667499999833125,0.6667000000000001,0.0170648464163531,0.216675,0.0,41.28,52.5,Low,0.1596,0.2708,-0.0149,-0.0356,-0.1046,0.1765,0.0826,3.3231
Advanced ENT Sinus Center,Reno,NV,22,3.77,68.18,0.1364,0.2727,-0.0909,0.0909,0.1364,0.2273,0.692499999826875,0.6818000000000001,0.0034129692832706,0.1931999999999999,0.04545,41.28,52.5,Low,0.0627,0.0768,-0.0725,0.0886,0.1318,0.1371,0.1826,4.8331
Klement Family Dental,St. Petersburg,FL,55,3.73,69.09,0.1273,0.4364,0.1273,0.1455,0.0545,0.1818,0.682499999829375,0.6909000000000001,0.0597269624572359,0.1999999999999999,0.1364,41.28,52.5,Medium,0.0536,0.2405,0.1457,0.1432,0.0499,0.0916,0.1426,5.7431
Perfect Teeth - ABC,Tucson,AZ,23,3.65,69.57,0.2609,0.4783,0.1304,0.1304,0.2174,0.087,0.662499999834375,0.6957,0.0051194539249059,0.2609,0.1304,41.26,52.41,Low,0.1872,0.2824,0.1488,0.1281,0.2128,-0.0032,0.0626,6.2231
Schnucks Downtown - Saint Louis,St. Louis,MO,203,3.65,65.02,0.0148,0.1823,0.1379,0.069,0.0,0.0788,0.662499999834375,0.6502,0.3122866894192623,0.068975,0.10345,41.16,52.37,High,-0.0589,-0.0136,0.1563,0.0667,-0.0046,-0.0114,0.0626,1.6731
3000BC - Chestnut Hill,Philadelphia,PA,43,3.74,72.09,0.1395,0.2093,0.0233,-0.0698,-0.0233,0.093,0.68499999982875,0.7209,0.0392491467576122,0.104625,0.01165,41.14,52.32,Medium,0.0658,0.0134,0.0417,-0.0721,-0.0279,0.0028,0.1526,8.7431
"Richard Eidelson, DDS ,FAGD",Philadelphia,PA,30,3.67,66.67,0.3,0.2667,0.0,0.2333,0.1,0.4,0.667499999833125,0.6667000000000001,0.0170648464163531,0.266675,0.11665,41.12,52.28,Low,0.2263,0.0708,0.0184,0.231,0.0954,0.3098,0.0826,3.3231
The Beauty Lounge,Carmel,IN,51,3.84,70.59,0.1569,0.1765,-0.1176,0.0784,0.0,0.0196,0.7099999998225,0.7059000000000001,0.0529010238906947,0.08825,0.0392,41.11,52.24,Medium,0.0832,-0.0194,-0.0992,0.0761,-0.0046,-0.0706,0.2526,7.2431
La Cholla Dental Group,Tucson,AZ,25,3.84,68.0,0.04,0.36,0.08,-0.04,0.08,0.12,0.7099999998225,0.68,0.0085324232081765,0.15,0.04,41.03,52.19,Low,-0.0337,0.1641,0.0984,-0.0423,0.0754,0.0298,0.2526,4.6531
Wegmans,Warrington,PA,150,3.83,68.67,0.0067,0.08,0.2867,0.06,0.0267,0.0933,0.7074999998231251,0.6867,0.2218430034125907,0.051675,0.17335,41.02,52.15,High,-0.067,-0.1159,0.3051,0.0577,0.0221,0.0031,0.2426,5.3231
AFC Urgent Care,Clearwater,FL,38,3.74,65.79,0.2632,0.2895,0.0789,0.1579,0.1316,0.2632,0.68499999982875,0.6579,0.0307167235494356,0.2368749999999999,0.1184,41.01,52.11,Low,0.1895,0.0936,0.0973,0.1556,0.127,0.173,0.1526,2.4431
Massage Envy - St. Petersburg 4th Street,St. Petersburg,FL,30,3.87,70.0,0.1,0.2,-0.0333,-0.0333,0.0,0.0333,0.7174999998206251,0.7,0.0170648464163531,0.083325,0.0,40.95,52.06,Low,0.0263,0.0041,-0.0149,-0.0356,-0.0046,-0.0569,0.2826,6.6531
Skin Solutions Dermatology,Nashville,TN,20,3.75,70.0,0.05,0.35,-0.15,0.1,0.15,0.1,0.687499999828125,0.7,0.0,0.1624999999999999,0.05,40.87,52.02,Low,-0.0237,0.1541,-0.1316,0.0977,0.1454,0.0098,0.1626,6.6531
The Polished Bee,Tucson,AZ,21,4.0,76.19,0.0476,-0.0476,0.0476,0.0476,0.0,-0.0476,0.7499999998125,0.7619,0.0017064846416353,-0.0119,0.0476,40.86,51.95,Low,-0.0261,-0.2435,0.066,0.0453,-0.0046,-0.1378,0.4126,12.8431
Johns Hopkins All Children'S Hospital Dialysis,Saint Petersburg,FL,30,3.57,66.67,0.2333,0.3,-0.1333,0.0667,0.1333,0.3333,0.642499999839375,0.6667000000000001,0.0170648464163531,0.249975,0.03335,40.86,51.95,Low,0.1596,0.1041,-0.1149,0.0644,0.1287,0.2431,-0.0174,3.3231
Paleo on the Go,Largo,FL,31,4.0,70.97,0.129,0.0323,0.0968,-0.0323,-0.0968,0.0968,0.7499999998125,0.7097,0.0187713310579884,0.040325,0.0484,40.85,51.87,Low,0.0553,-0.1636,0.1152,-0.0346,-0.1014,0.0066,0.4126,7.6231
MyEyeDr,Southampton,PA,23,3.74,69.57,0.1304,0.3043,0.0,0.0435,0.087,0.087,0.68499999982875,0.6957,0.0051194539249059,0.1521749999999999,0.02175,40.85,51.87,Low,0.0567,0.1084,0.0184,0.0412,0.0824,-0.0032,0.1526,6.2231
Tre MedSpa,Tampa,FL,33,3.73,69.7,0.1212,0.2121,-0.0606,0.0909,0.1515,0.1212,0.682499999829375,0.6970000000000001,0.022184300341259,0.1515,0.04545,40.81,51.8,Low,0.0475,0.0162,-0.0422,0.0886,0.1469,0.031,0.1426,6.3531
Sunshine Massage Spa,Meridian,ID,26,3.88,73.08,0.0,0.2692,0.2692,0.0385,-0.0769,0.2692,0.71999999982,0.7308,0.0102389078498118,0.115375,0.15385,40.79,51.76,Low,-0.0737,0.0733,0.2876,0.0362,-0.0815,0.179,0.2926,9.7331
Results Transformation Center,Reno,NV,30,3.87,73.33,-0.0667,0.2667,-0.0667,0.1333,0.0333,0.0333,0.7174999998206251,0.7333,0.0170648464163531,0.06665,0.06665,40.78,51.72,Low,-0.1404,0.0708,-0.0483,0.131,0.0287,-0.0569,0.2826,9.9831
Essentials Spa & Salon,St. Petersburg,FL,37,3.89,75.68,0.027,0.1081,0.2162,0.0541,-0.027,0.1081,0.7224999998193751,0.7568,0.0290102389078003,0.05405,0.13515,40.76,51.65,Low,-0.0467,-0.0878,0.2346,0.0518,-0.0316,0.0179,0.3026,12.3331
The Prather Practice,Indianapolis,IN,21,3.86,71.43,0.1429,0.2857,0.0952,0.0952,0.0476,0.0,0.71499999982125,0.7143,0.0017064846416353,0.1190499999999999,0.0952,40.76,51.65,Low,0.0692,0.0898,0.1136,0.0929,0.043,-0.0902,0.2726,8.0831
Massage Passyunk Ave,Philadelphia,PA,28,4.0,71.43,0.0,0.0714,-0.0357,0.1071,0.0,0.0714,0.7499999998125,0.7143,0.0136518771330825,0.0357,0.05355,40.74,51.56,Low,-0.0737,-0.1245,-0.0173,0.1048,-0.0046,-0.0188,0.4126,8.0831
SEE,Saint Louis,MO,27,3.89,70.37,0.1852,0.2593,0.1852,0.037,-0.037,0.0741,0.7224999998193751,0.7037,0.0119453924914471,0.1204,0.1111,40.74,51.56,Low,0.1115,0.0634,0.2036,0.0347,-0.0416,-0.0161,0.3026,7.0231
Eyezone - Midtown,Reno,NV,23,3.78,69.57,0.1304,0.4348,0.0,-0.0435,-0.0435,-0.0435,0.6949999998262499,0.6957,0.0051194539249059,0.11955,0.0,40.71,51.5,Low,0.0567,0.2389,0.0184,-0.0458,-0.0481,-0.1337,0.1926,6.2231
"Seth Rosen, DDS",Norristown,PA,28,3.68,67.86,0.1786,0.4286,0.1071,0.1429,0.0357,0.2857,0.6699999998325,0.6786,0.0136518771330825,0.2321499999999999,0.125,40.66,51.45,Low,0.1049,0.2327,0.1255,0.1406,0.0311,0.1955,0.0926,4.5131
Enigma Medi Spa & Laser Center,Philadelphia,PA,135,3.67,65.19,0.1185,0.2074,0.0741,0.0222,0.0074,0.037,0.667499999833125,0.6518999999999999,0.196245733788061,0.0925749999999999,0.04815,40.64,51.39,High,0.0448,0.0115,0.0925,0.0199,0.0028,-0.0532,0.0826,1.8431
Balance Spa & Fitness,Philadelphia,PA,46,3.91,65.22,0.1304,0.1087,0.0652,0.0435,-0.0217,0.2609,0.7274999998181251,0.6522,0.0443686006825181,0.119575,0.0543499999999999,40.64,51.39,Medium,0.0567,-0.0872,0.0836,0.0412,-0.0263,0.1707,0.3226,1.8731
ADA West Dermatology,Meridian,ID,51,3.71,66.67,0.2549,0.3137,-0.098,0.2157,0.0784,0.1373,0.677499999830625,0.6667000000000001,0.0529010238906947,0.196075,0.10785,40.63,51.32,Medium,0.1812,0.1178,-0.0796,0.2134,0.0738,0.0471,0.1226,3.3231
Tampa Urgent Care,Tampa,FL,30,3.8,66.67,0.3,0.3,-0.1,0.1,0.0333,0.0,0.6999999998249999,0.6667000000000001,0.0170648464163531,0.158325,0.05,40.59,51.28,Low,0.2263,0.1041,-0.0816,0.0977,0.0287,-0.0902,0.2126,3.3231
Aloe Dermatology,Santa Barbara,CA,29,3.69,65.52,0.1724,0.2759,-0.1034,0.1379,0.2759,0.1724,0.672499999831875,0.6552,0.0153583617747178,0.22415,0.06895,40.58,51.24,Low,0.0987,0.08,-0.085,0.1356,0.2713,0.0822,0.1026,2.1731
212 Cafe and Wellness Center,Nashville,TN,102,3.71,68.63,0.0098,0.1078,0.049,0.0196,0.0588,0.0882,0.677499999830625,0.6862999999999999,0.1399317406140957,0.06615,0.0343,40.56,51.19,High,-0.0639,-0.0881,0.0674,0.0173,0.0542,-0.002,0.1226,5.2831
MyEyeDr,New Orleans,LA,34,3.79,67.65,0.4118,0.2353,0.2059,0.1176,0.0588,0.0882,0.697499999825625,0.6765000000000001,0.0238907849828943,0.198525,0.16175,40.55,51.15,Low,0.3381,0.0394,0.2243,0.1153,0.0542,-0.002,0.2026,4.3031
Pueblo Radiology Medical Group,Santa Barbara,CA,85,3.74,64.71,0.0941,0.3294,-0.1294,0.0118,-0.0118,0.0235,0.68499999982875,0.6470999999999999,0.1109215017062953,0.1088,0.0059,40.51,51.06,Medium,0.0204,0.1335,-0.111,0.0095,-0.0164,-0.0667,0.1526,1.3631
Forest Park Dental,Saint Louis,MO,36,3.64,63.89,0.2778,0.3333,-0.0556,-0.0278,0.0,0.25,0.659999999835,0.6389,0.027303754266165,0.215275,0.0,40.49,51.02,Low,0.2041,0.1374,-0.0372,-0.0301,-0.0046,0.1598,0.0526,0.5431
Avia Spa,Indianapolis,IN,42,3.79,69.05,0.1429,0.4048,0.1667,0.1905,0.0,0.1429,0.697499999825625,0.6905,0.0375426621159768,0.17265,0.1785999999999999,40.42,50.98,Medium,0.0692,0.2089,0.1851,0.1882,-0.0046,0.0527,0.2026,5.7031
Cool Springs EyeCare,Franklin,TN,37,3.68,67.57,0.4054,0.3784,-0.0541,0.1081,-0.027,-0.0541,0.6699999998325,0.6757,0.0290102389078003,0.175675,0.05405,40.4,50.93,Low,0.3317,0.1825,-0.0357,0.1058,-0.0316,-0.1443,0.0926,4.2231
Rittenhouse Women's Wellness Center,Philadelphia,PA,226,3.5,58.41,0.177,0.146,-0.0398,0.0885,0.031,0.0841,0.62499999984375,0.5841,0.3515358361768745,0.109525,0.04425,40.37,50.89,High,0.1033,-0.0499,-0.0214,0.0862,0.0264,-0.0061,-0.0874,-4.9369
Beijing Foot Spa,Saint Louis,MO,34,3.88,70.59,0.1471,0.2353,0.2353,0.1176,-0.0294,0.1471,0.71999999982,0.7059000000000001,0.0238907849828943,0.125025,0.17645,40.34,50.85,Low,0.0734,0.0394,0.2537,0.1153,-0.034,0.0569,0.2926,7.2431
Serene Nail Spa & Reflexology,Tucson,AZ,32,3.75,68.75,0.0,0.3125,-0.0312,0.0312,-0.0938,0.25,0.687499999828125,0.6875,0.0204778156996237,0.117175,0.0156,40.31,50.8,Low,-0.0737,0.1166,-0.0128,0.0289,-0.0984,0.1598,0.1626,5.4031
AtlantiCare Urgent Care - Mount Laurel,Mount Laurel,NJ,31,3.71,64.52,0.3226,0.3871,0.0968,0.2258,0.0645,0.2581,0.677499999830625,0.6452,0.0187713310579884,0.258075,0.1613,40.29,50.76,Low,0.2489,0.1912,0.1152,0.2235,0.0599,0.1679,0.1226,1.1731
Royal Palms Natural Nail Spa,Saint Petersburg,FL,84,3.76,65.48,-0.0238,0.1429,0.0119,-0.0119,-0.0238,0.2262,0.6899999998274999,0.6548,0.10921501706466,0.080375,0.00595,40.26,50.72,Medium,-0.0975,-0.053,0.0303,-0.0142,-0.0284,0.136,0.1726,2.1331
The Energy Spot,Greenwood,IN,20,3.8,75.0,0.0,0.4,0.25,0.1,0.05,0.0,0.6999999998249999,0.75,0.0,0.1125,0.175,40.25,50.67,Low,-0.0737,0.2041,0.2684,0.0977,0.0454,-0.0902,0.2126,11.6531
Tortolita Dental Group and Orthodontics,Tucson,AZ,29,3.76,65.52,0.1034,0.2759,-0.0345,0.069,0.0345,0.2414,0.6899999998274999,0.6552,0.0153583617747178,0.1638,0.0345,40.24,50.63,Low,0.0297,0.08,-0.0161,0.0667,0.0299,0.1512,0.1726,2.1731
Eastern Relax,Maple Shade,NJ,32,3.84,71.88,0.0625,0.0938,0.0938,0.0938,0.0,0.1562,0.7099999998225,0.7188,0.0204778156996237,0.078125,0.0938,40.2,50.59,Low,-0.0112,-0.1021,0.1122,0.0915,-0.0046,0.066,0.2526,8.5331
Kinsmen Sports Centre,Edmonton,AB,34,3.91,67.65,0.0,0.1471,0.0588,0.2059,0.0294,0.2941,0.7274999998181251,0.6765000000000001,0.0238907849828943,0.11765,0.13235,40.13,50.52,Low,-0.0737,-0.0488,0.0772,0.2036,0.0248,0.2039,0.3226,4.3031
LaserSpa of Tampa Bay,Tarpon Springs,FL,24,3.67,66.67,0.25,0.3333,0.0417,0.0833,0.0833,0.125,0.667499999833125,0.6667000000000001,0.0068259385665412,0.1979,0.0625,40.13,50.52,Low,0.1763,0.1374,0.0601,0.081,0.0787,0.0348,0.0826,3.3231
Better Life Chiropractic,Meridian,ID,23,3.87,69.57,0.087,0.1739,-0.087,-0.0435,-0.0435,0.0,0.7174999998206251,0.6957,0.0051194539249059,0.05435,0.0,40.08,50.46,Low,0.0133,-0.022,-0.0686,-0.0458,-0.0481,-0.0902,0.2826,6.2231
"Aneesh Garg, DO - Hughston Clinic",Nashville,TN,20,3.7,65.0,0.15,0.2,-0.15,-0.1,0.4,-0.05,0.67499999983125,0.65,0.0,0.175,0.0,40.0,50.41,Low,0.0763,0.0041,-0.1316,-0.1023,0.3954,-0.1402,0.1126,1.6531
Penn Dental Faculty Practice,Philadelphia,PA,32,3.75,68.75,0.0312,0.25,-0.1562,0.0938,-0.0625,0.25,0.687499999828125,0.6875,0.0204778156996237,0.117175,0.0469,39.99,50.37,Low,-0.0425,0.0541,-0.1378,0.0915,-0.0671,0.1598,0.1626,5.4031
Bella Excellence,Wesley Chapel,FL,37,3.84,70.27,-0.027,0.1892,-0.1081,0.0541,0.0,0.027,0.7099999998225,0.7027,0.0290102389078003,0.0473,0.02705,39.98,50.33,Low,-0.1007,-0.0067,-0.0897,0.0518,-0.0046,-0.0632,0.2526,6.9231
Center City Dermatology,Philadelphia,PA,61,3.52,63.93,0.2787,0.1967,0.0,-0.0492,0.1475,0.1639,0.6299999998425,0.6393,0.0699658703070478,0.1966999999999999,0.0,39.87,50.28,Medium,0.205,0.0008,0.0184,-0.0515,0.1429,0.0737,-0.0674,0.5831
Tower Health Urgent Care,Doylestown,PA,22,3.73,63.64,0.3182,0.3636,0.0,-0.0909,-0.0455,0.0455,0.682499999829375,0.6364,0.0034129692832706,0.17045,0.0,39.85,50.24,Low,0.2445,0.1677,0.0184,-0.0932,-0.0501,-0.0447,0.1426,0.2931
